@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute orientation-1 numeric
@attribute orientation-2 numeric
@attribute orientation-3 numeric
@attribute outputs-1 numeric

@data
161,'2023/10/29 18:47:18:593',10,0.115383,-0.095896,0.038941,0.6
162,'2023/10/29 18:47:18:622',10,0.10575,-0.099529,0.043257,0.6
163,'2023/10/29 18:47:18:661',10,0.122047,-0.095231,0.052068,0.6
164,'2023/10/29 18:47:18:681',10,0.119275,-0.091161,0.050703,0.6
165,'2023/10/29 18:47:18:709',10,0.136631,-0.092419,0.057572,0.6
166,'2023/10/29 18:47:18:759',10,0.13713,-0.096432,0.059643,0.6
167,'2023/10/29 18:47:18:771',10,0.139041,-0.095838,0.062966,0.6
168,'2023/10/29 18:47:18:803',10,0.146596,-0.096926,0.061507,0.6
169,'2023/10/29 18:47:18:841',10,0.164121,-0.091049,0.064311,0.6
170,'2023/10/29 18:47:18:874',10,0.157573,-0.094005,0.064949,0.6
171,'2023/10/29 18:47:18:903',10,0.156073,-0.091382,0.065103,0.6
172,'2023/10/29 18:47:18:942',10,0.140926,-0.098523,0.063579,0.6
173,'2023/10/29 18:47:18:977',10,0.141807,-0.095813,0.061591,0.6
174,'2023/10/29 18:47:19:004',10,0.144511,-0.092712,0.059228,0.6
175,'2023/10/29 18:47:19:052',10,0.143761,-0.091301,0.056508,0.6
176,'2023/10/29 18:47:19:098',10,0.156255,-0.092794,0.052445,0.6
177,'2023/10/29 18:47:19:110',10,0.13258,-0.092203,0.049987,0.6
178,'2023/10/29 18:47:19:139',10,0.124886,-0.094949,0.046188,0.6
179,'2023/10/29 18:47:19:173',10,0.113824,-0.093997,0.039913,0.6
180,'2023/10/29 18:47:19:212',10,0.107336,-0.096555,0.034739,0.6
181,'2023/10/29 18:47:19:237',10,0.095356,-0.095184,0.030679,0.6
182,'2023/10/29 18:47:19:272',10,0.084362,-0.093421,0.029363,0.6
183,'2023/10/29 18:47:19:304',10,0.08648,-0.094952,0.023391,0.6
184,'2023/10/29 18:47:19:346',10,0.077905,-0.094294,0.022491,0.6
185,'2023/10/29 18:47:19:378',10,0.08685,-0.090896,0.015666,0.6
186,'2023/10/29 18:47:19:411',10,0.075856,-0.091954,0.015436,0.6
187,'2023/10/29 18:47:19:436',10,0.068565,-0.088823,0.011022,0.6
188,'2023/10/29 18:47:19:468',10,0.072333,-0.092046,0.006895,0.6
189,'2023/10/29 18:47:19:504',10,0.065689,-0.088224,0.006813,0.6
190,'2023/10/29 18:47:19:528',10,0.053822,-0.089363,-0.000157,0.6
191,'2023/10/29 18:47:19:552',10,0.048102,-0.086763,0.0008,0.6
192,'2023/10/29 18:47:19:591',10,0.043741,-0.085277,-0.001492,0.6
193,'2023/10/29 18:47:19:644',10,0.055244,-0.085714,-0.000811,0.6
194,'2023/10/29 18:47:19:670',10,0.055681,-0.088518,-0.000797,0.6
195,'2023/10/29 18:47:19:706',10,0.06479,-0.088221,0.004628,0.6
196,'2023/10/29 18:47:19:736',10,0.060702,-0.088159,0.000063,0.6
197,'2023/10/29 18:47:21:928',11,0.093343,0.136773,0.036012,0.6
198,'2023/10/29 18:47:21:946',11,0.088268,0.132907,0.038937,0.6
199,'2023/10/29 18:47:21:969',11,0.098261,0.130769,0.05265,0.6
200,'2023/10/29 18:47:22:012',11,0.099586,0.127506,0.051811,0.6
201,'2023/10/29 18:47:22:045',11,0.097261,0.126995,0.051312,0.6
